Designator, Mid X, Mid Y, Layer, Rotation
Etape, 93.7262mm, 124.5872mm, T, 0
LDR, 101.3462mm, 124.5237mm, T, 0
AUX3, 87.2492mm, 74.4221mm, T, 90
J4, 181.2094mm, 70.4851mm, T, 180
J3, 146.9193mm, 70.4851mm, T, 180
J2, 141.3513mm, 96.7742mm, T, 270
Relays, 101.3462mm, 141.2243mm, T, 0
G2, 51.9431mm, 120.8902mm, T, 270
FB2, 62.9921mm, 122.9362mm, T, 90
FB1, 70.1041mm, 122.9362mm, T, 90
Fuse, 36.0181mm, 63.8611mm, T, 0
D7, 121.9202mm, 37.4651mm, T, 180
D6, 109.7282mm, 37.4651mm, T, 180
D5, 97.7902mm, 37.4651mm, T, 180
D4, 85.5982mm, 37.4651mm, T, 180
D3, 61.5951mm, 37.4651mm, T, 180
D2, 73.5331mm, 37.4651mm, T, 180
HV, 96.0122mm, 96.7742mm, T, 90
LV, 85.3442mm, 96.7742mm, T, 270
CN4, 106.1722mm, 96.7742mm, T, 270
C8, 59.9441mm, 92.2022mm, T, 90
C7, 67.1831mm, 92.2022mm, T, 90
C6, 62.3571mm, 92.2022mm, T, 90
C5, 64.7701mm, 92.2022mm, T, 90
C4, 56.3881mm, 133.7313mm, T, 90
C3, 66.4581mm, 123.9522mm, T, 0
C2, 72.2631mm, 122.8202mm, T, 270
C1, 66.4211mm, 121.5392mm, T, 0
Buzzer, 80.8998mm, 136.2713mm, T, 0
B1, 198.9694mm, 123.8752mm, T, 90
*2, 56.5151mm, 106.6532mm, T, 90
